OTU_ID	CK0_1	CK0_2	CK0_3	GCP11_1	GCP11_2	GCP11_3	GCP16_1	GCP16_2	GCP16_3	GCP18_1	GCP18_2	GCP18_3	GCP19_1	GCP19_2	GCP19_3	GCP01_1	GCP01_2	GCP01_3	GCP02_1	GCP02_2	GCP02_3	GCP03_1	GCP03_2	GCP03_3	GCP04_1	GCP04_2	GCP04_3	GCP05_1	GCP05_2	GCP05_3	GCP06_1	GCP06_2	GCP06_3	GCP08_1	GCP08_2	GCP08_3
OTU_1212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	1	34	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_1219	504	374	174	1	0	0	74	53	0	0	0	0	0	0	0	2677	2898	2537	354	1817	2624	193	2	3	118	6	8	167	75	693	0	0	0	0	10	0
OTU_1220	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	8	2	2	0	2	2	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0
OTU_1223	1	86	47	5	17	0	0	0	0	0	0	0	0	0	23	0	0	0	6	32	38	0	276	0	350	55	1	53	0	0	0	0	0	7	29	0
OTU_1224	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	21	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_1231	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	7	0	0	19	0	0	3	232	4	0	0	1	20	1	0	0	0	7	2	0
OTU_1240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	61	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1244	1	0	2	0	0	0	0	16	0	0	0	0	0	0	0	3	0	1	2	3	1	0	2	3	4760	2	1	1	2	4	0	0	0	0	0	0
OTU_1245	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	548	0	1	0	0	0	0	0	0	0	0	0
OTU_1246	0	0	0	2	0	0	227	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	1	0	1	1	0
OTU_1247	0	0	0	0	0	0	109	0	1	0	0	0	0	0	1	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_125	2	5	3	1453	2227	13092	444	1259	930	27016	29003	29216	289	126	127	1	2	1	1	21	0	418	0	0	2	5	1	375	506	832	11652	11808	14616	6401	4381	7469
OTU_1255	13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_1256	49	2	39	11	0	11	68	23	11	0	0	0	18	18	25	31	5	9	25	54	52	189	1	1	1125	236	13	2	32	1	0	1	0	2	19	0
OTU_1259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	76	17	0	0	1	0	0	1	0	0	0	31	0	0	0	0	0	0	1
OTU_1260	0	0	0	0	0	0	20	0	0	0	0	0	3	1	101	0	0	0	0	9	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0
OTU_1263	0	4	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	7	0	1	0	0	0	0	0	0
OTU_1272	6	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1276	0	1091	114	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	1	0	0	0	0	0	0
OTU_1279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	315	1	0	0	0	3	0	1	0	0	0	0	0	0
OTU_1280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	1	102	232	535	0	0	0	0	0	0
OTU_1283	1	3	0	0	0	0	10	0	0	0	0	0	0	0	0	17	0	0	0	15	11	0	0	0	0	0	0	1	57	0	0	0	0	0	20	0
OTU_1284	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	5	2	1	2	3235	0	4	1341	6	4	0	3	6	0	0	0	0	0	0
OTU_1285	0	0	0	0	0	1	0	0	136	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1289	0	0	0	2	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
