OTU_ID	CK0_1	CK0_2	CK0_3	GCP11_1	GCP11_2	GCP11_3	GCP16_1	GCP16_2	GCP16_3	GCP18_1	GCP18_2	GCP18_3	GCP19_1	GCP19_2	GCP19_3	GCP01_1	GCP01_2	GCP01_3	GCP02_1	GCP02_2	GCP02_3	GCP03_1	GCP03_2	GCP03_3	GCP04_1	GCP04_2	GCP04_3	GCP05_1	GCP05_2	GCP05_3	GCP06_1	GCP06_2	GCP06_3	GCP08_1	GCP08_2	GCP08_3
OTU_30	1	6	0	25	32	50	30	20	51	1	5	13	11	31	29	8	0	2	2	7	1	192	118	120	30	114	150	155	353	329	11	6	4	28	20	4
OTU_300	0	0	0	0	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0
OTU_301	0	0	0	20	9	8	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_304	0	0	0	10	11	10	13	21	3	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	5	0	0	2	0	0	0	0	0	0	0
OTU_307	0	0	0	0	4	0	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_309	0	0	0	0	1	0	12	9	0	1	0	0	0	0	0	0	0	0	0	0	0	9	0	0	3	2	0	0	0	0	0	0	0	0	0	0
OTU_31	0	0	0	207	112	131	115	172	46	1	1	2	2	3	1	1	0	0	1	1	1	6	0	0	3	0	0	7	0	15	0	1	0	3	1	1
OTU_311	0	0	0	2	0	10	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0
OTU_314	0	0	0	0	0	4	2	2	0	0	0	0	0	0	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU_316	0	0	0	3	0	3	7	6	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	5	7	6
OTU_317	0	0	0	0	1	5	0	0	3	0	0	0	6	15	10	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_32	4	3	1	54	23	86	30	51	24	2	0	7	40	69	72	2	0	0	1	1	0	45	82	17	3	116	58	167	285	254	20	9	3	11	0	0
OTU_320	0	0	0	2	0	0	18	6	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	7	2	0	0	33	0	0	0	0	0	2	4	3
OTU_329	0	0	0	1	5	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	1	2
OTU_33	0	0	1	3	1	3	9	7	3	8	0	1	2	0	15	0	0	0	1	0	2	15	0	2	2	30	79	375	111	112	1	3	0	12	7	7
OTU_336	0	0	0	0	0	0	25	5	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
OTU_337	0	0	0	3	0	0	10	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU_34	0	0	0	24	19	29	28	10	7	4	4	5	8	4	5	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	33	21	25	514	592	567
OTU_341	1	0	0	0	0	0	26	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0
